County,EFO Name,Permit Date,Permit No,API No,Operator Name,Well Name and Number,Latitude,Longitude,Elevation,Formation at Total Depth,Purpose af Well
Morgan,Knoxville,42277,12798,129-21986,"North Central Tennessee Drilling Contractors, Inc",Eugene Olmstead-Olmstead #1,36.28375,-84.657139,1349.7,Fort Payne Formation,Oil
Scott,Knoxville,42255,12793,151-21669,"NuCorp Energy, Inc.",David Morrow & O. E. Chambers ETAL #Chambe1,36.463361,-84.387417,1596.6,Monteagle Limestone,Gas
Scott,Knoxville,42236,12782,151-20143-R1,"Enrema, LLC",The Brimstone Company #S104R1,36.381444,-84.52175,1248,Fort Payne Formation,Oil And Gas
Morgan,Knoxville,42230,12781,129-21985,"ACE Energy, LLC",Lincoln Payne #Ace3,36.197611,-84.836361,1535.21,Nashville Group,Oil
Scott,Knoxville,42229,12780,151-21668,"Enrema, LLC",Thomas C. Reese #S136V1,36.294611,-84.603,1484.5,Chattanooga Shale,Oil And Gas
Morgan,Knoxville,42207,12777,129-21984,"ACE Energy, LLC",Lincoln Payne Ace #2,36.1985,-84.8315,1544.2,Knox Group,Oil
Scott,Knoxville,42179,12773,151-21667,"Enrema, LLC",The Brimstone Company #S104V1,36.381472,-84.510722,1661,Chattanooga Shale,Oil And Gas
Scott,Knoxville,42179,12772,151-21666,"Enrema, LLC",The Brimstone Company #S104V2,36.378861,-84.509722,1695.7,Fort Payne Formation,Oil And Gas
Scott,Knoxville,19-Jun-15,12767,151-21665,"Enrema, LLC",The Brimstone Company #S104V3,36.38075,-84.513,1672,Fort Payne Formation,Oil And Gas
Morgan,Knoxville,1-May-15,12756,129-21983,"ACE Energy, LLC",Lincoln Payne Ace #1,36.199722,-84.833306,1544.2,Knox Group,Oil
Morgan,Knoxville,7-Jan-15,12730,129-20647-R1,"Eagle Family Farms, Inc.",Eagle Family Farms #1,36.192306,-84.779611,1500,Fort Payne Formation,Oil And Gas
Loudon,Knoxville,8-Oct-14,12710,105-20000,"Planet Energy, LLC","Jim Christian,The2002CongletonFm LP #1",35.808306,-84.189944,1037,Knox Group,Oil
Morgan,Knoxville,22-Jul-14,12680,129-21982,"Enrema, LLC",Cordell Taylor #M92V3,36.113722,-84.776861,1444.8,Leipers Formation,Oil And Gas
Morgan,Knoxville,30-Jun-14,12670,129-21981,"Enrema, LLC",Cordell Taylor #M92V1,36.116944,-84.778778,1456.7,Leipers Formation,Oil And Gas
Morgan,Knoxville,17-Apr-14,12648,129-21980,"Enrema, LLC",Florence Gorel & Darlene M. Kagel #M40J1,36.217944,-84.794694,1490.4,Chattanooga Shale,Oil And Gas
Morgan,Knoxville,27-Feb-14,12623,129-21975,Diversified Production LLC,"Emory River, LLC #HW-1518",36.160389,-84.610778,1475.4,Chattanooga Shale,Oil And Gas
Morgan,Knoxville,27-Feb-14,12624,129-21976,Diversified Production LLC,"Emory River, LLC #HW-1517",36.166861,-84.595083,1393.7,Chattanooga Shale,Oil And Gas
Morgan,Knoxville,27-Feb-14,12625,129-21977,Diversified Production LLC,"Emory River, LLC #HW-1516",36.164333,-84.600556,1420.3,St. Louis Limestone,Oil And Gas
Morgan,Knoxville,27-Feb-14,12626,129-21978,Diversified Production LLC,"Emory River, LLC #HW-1515",36.165861,-84.598056,1418.4,St. Louis Limestone,Oil And Gas
Morgan,Knoxville,27-Feb-14,12627,129-21979,Diversified Production LLC,"Emory River, LLC #HW-1519",36.154611,-84.605389,1415.3,Chattanooga Shale,Oil And Gas
Morgan,Knoxville,27-Jan-14,12608,129-21974,"Mountain V Oil & Gas, Inc.",Joe Phillips #1 T024,36.248361,-84.804583,1633.7,St. Louis Limestone,Oil And Gas
Scott,Knoxville,14-Jan-14,12594,151-21664,"Miller Energy Resources, Inc.",Gunsight Holdings LLC #V-31,36.395139,-84.392111,1588.7,Chattanooga Shale,Oil
Scott,Knoxville,6-Nov-13,12578,151-20660-R1,W. D. Goodwin Inc.,Sam Lindsey #1,36.339583,-84.613444,1435,Monteagle Limestone,Oil
Morgan,Knoxville,4-Nov-13,12576,129-21972,"KREMCO Oil, LLC",Lincoln Payne #1,36.19975,-84.832861,1541.7,Nashville Group,Oil And Gas
Morgan,Knoxville,4-Nov-13,12577,129-21973,"KREMCO Oil, LLC",Lincoln Payne #2,36.198417,-84.831278,1569.2,Nashville Group,Oil And Gas
Scott,Knoxville,12-Sep-13,12560,151-21663,"Enrema, LLC",Brimstone Et al #H-1,36.381806,-84.518861,1471.6,Fort Payne Formation,Oil
Morgan,Knoxville,4-Sep-13,12558,129-21971,"Outdoor Resources, Inc.",Clifford Davis Unit #1,36.153028,-84.818806,1539.6,Monteagle Limestone,Oil And Gas
Scott,Knoxville,29-Aug-13,12554,151-20149-R1,"Enrema, LLC",Frank West #1,36.355778,-84.534694,1254,Fort Payne Formation,Oil
Morgan,Knoxville,41487,12547,129-21970,"Enrema, LLC",Jimmy Hawn #M82V1,36.137694,-84.77975,1468.86,Chattanooga Shale,Oil And Gas
Claiborne,Knoxville,41474,12541,025-20179,Vinland Energy LLC,Huber #78H,36.530806,-83.94975,1921,St. Louis Limestone,Oil And Gas
Scott,Knoxville,41383,12489,151-21662,"Monteagle Oil & Gas, LLC",Oneida Farms etal #MH-2,36.458361,-84.561278,1596.3,Fort Payne Formation,Oil
Claiborne,Knoxville,41366,12478,025-20178,Vinland Energy LLC,Western Pocahantas Properties LLC #Huber77,36.527194,-83.951083,2236,St. Louis Limestone,Oil And Gas
Campbell,Knoxville,41344,12470,013-20295,Diversified Production LLC,Map0406(General Partnership) #AH-1006,36.223028,-84.330167,1515.7,Sequatchie Formation,Oil And Gas
Campbell,Knoxville,41344,12469,013-20294,Diversified Production LLC,Map0406(General Partnership) #AH-1008,36.222833,-84.330194,1520,Chattanooga Shale,Oil And Gas
Anderson,Knoxville,41317,12459,001-20448,Diversified Production LLC,Map0406 General Partnership #AH-1020,36.174,-84.372694,2267.5,Chattanooga Shale,Oil And Gas
Anderson,Knoxville,41317,12460,001-20449,Diversified Production LLC,Map0406 General Partnership #AH-1018,36.174111,-84.372528,2262.9,Sequatchie Formation,Oil And Gas
Anderson,Knoxville,41317,12458,001-20447,Diversified Production LLC,MAP0406(General Partnership) #AH-1001,36.208444,-84.332361,1906.8,Chattanooga Shale,Oil And Gas
Morgan,Knoxville,41306,12454,129-21969,Diversified Production LLC,"Emory River, LLC #HH-1042",36.220444,-84.608528,1765.7,Sequatchie Formation,Oil And Gas
Morgan,Knoxville,41306,12453,129-21968,Diversified Production LLC,"Emory River, LLC #HW-1510",36.16725,-84.6095,1643.2,St. Louis Limestone,Oil And Gas
Scott,Knoxville,41278,12445,151-21661,"Enrema, LLC",Brad Maynard #H-1,36.386417,-84.582111,1370.4,Fort Payne Formation,Oil And Gas
Scott,Knoxville,41262,12440,151-21660,"Miller Energy Resources, Inc.","Gunsight Holdings, LLC #V-30",36.394778,-84.377611,2002.88,Chattanooga Shale,Oil And Gas
Morgan,Knoxville,41257,12435,129-21967,Diversified Production LLC,"Emory River, LLC #HW-1509",36.165139,-84.606056,1470.9,St. Louis Limestone,Oil And Gas
Morgan,Knoxville,41257,12434,129-21966,Diversified Production LLC,Emory River LLC #HW-1512,36.158194,-84.592889,1384.4,St. Louis Limestone,Oil And Gas
Morgan,Knoxville,41257,12432,129-21964,Diversified Production LLC,"Emory River, LLC #HW-1514",36.170333,-84.607694,1616.8,St. Louis Limestone,Oil And Gas
Morgan,Knoxville,41257,12433,129-21965,Diversified Production LLC,Emory River LLC #HW-1513,36.167,-84.600167,1426.3,St. Louis Limestone,Oil And Gas
Scott,Knoxville,41215,12404,151-21659,"Enrema, LLC",Cumberland Plateau Partners LLC #CPP-H-1,36.350139,-84.640278,1326,Fort Payne Formation,Oil
Anderson,Knoxville,41050,12334,001-20445,Diversified Production LLC,MAP0406 (General Partnership) #AD-1095,36.142833,-84.337806,2251.4,Chattanooga Shale,Oil
Scott,Knoxville,41050,12337,151-21658,Diversified Production LLC,MAPO0406 (General Partnership) #AD-1093,36.203583,-84.416306,1518.8,Chattanooga Shale,Oil
Scott,Knoxville,41050,12336,151-21657,Diversified Production LLC,MAP0406(General Partnership) #AD-1094,36.200889,-84.41275,1549.4,Chattanooga Shale,Oil
Anderson,Knoxville,41033,12326,001-20444,Diversified Production LLC,"Michael, Ron, Shawn, John Harris #AH-1040",36.181444,-84.3605,2273.3,Sequatchie Formation,Gas
Morgan,Knoxville,41003,12324,129-21963,"Outdoor Resources, Inc.",Mike Townley #1,36.139472,-84.830667,1535.7,Monteagle Limestone,Oil And Gas
Anderson,Knoxville,40970,12309,001-20442,Diversified Production LLC,MAP0406 General Partnership #AH-1044,36.194611,-84.349194,2264,Chattanooga Shale,Gas
Morgan,Knoxville,40970,12307,129-21961,Diversified Production LLC,"Emory River, LLC #HW-1508",36.166889,-84.603861,1441.6,Monteagle Limestone,Oil
Morgan,Knoxville,40970,12308,129-21962,Diversified Production LLC,"Emory River, LLC #HW-1511",36.156694,-84.599583,1391.1,Chattanooga Shale,Oil And Gas
Anderson,Knoxville,40970,12310,001-20443,Diversified Production LLC,MAP0406 General Partnership #AH-1046,36.194722,-84.349,2264.3,Sequatchie Formation,Gas
Morgan,Knoxville,40934,12297,129-21959,"Outdoor Resources, Inc.",Daniel & Frank Susak #1,36.139167,-84.775694,1460.6,Fort Payne Formation,Oil And Gas
Morgan,Knoxville,40934,12299,129-21960,Diversified Production LLC,Emory River LLC #HH-1040,36.216667,-84.610278,1724.1,Chattanooga Shale,Gas
Morgan,Knoxville,40934,12296,129-21958,"Enrema, LLC",William Werner #8,36.134528,-84.775472,1401.9,Monteagle Limestone,Oil And Gas
Scott,Knoxville,40911,12286,151-21655,Diversified Production LLC,Brimestone Company Unit #BH-1014,36.3035,-84.479806,1967.4,Chattanooga Shale,Gas
Scott,Knoxville,40911,12285,151-21654,Diversified Production LLC,Brimestone Company Unit #BH-1006,36.291667,-84.468444,2229.4,Chattanooga Shale,Gas
Scott,Knoxville,40911,12287,151-21656,Diversified Production LLC,Brimstone Company #BH-1008,36.291583,-84.468639,2224.8,Chattanooga Shale,Gas
